Case,Category,Sub-Category,Fine-grained category
 This service cannot be held responsible for disputes that you may have with other users,Dispute Resolution,Legal Terms,No Responsibility for User Disputes
" This service does not collect, use, or share location data",First Party Collection/use,Data Collection,No Location Data Collection
 This service does not condone any ideas contained in its user-generated contents, First Party Collection/use,User Content,No Condone User Content
 This service does not guarantee that it or the products obtained through it meet your expectations or requirements,Disclaimer,Legal Terms,No Guarantee for Product Expectations
 This service fines spammers,Governing Law,User Conduct,Fines for Spammers
 This service gives your personal data to third parties involved in its operation,Third Party Sharing/Collection,Data Sharing,Data Sharing with Operational Third Parties
 This service has a no refund policy with some exceptions,Service Description,Pricing and Fees,No Refund Policy with Exceptions
 This service holds onto content that you\ve deleted,Data Retention,Data Retention,Retention of Deleted Content
 This service informs you that its Terms of Service does not apply to third party websites,Third Party Sharing/Collection,Legal Terms,Third-Party Websites Exclusion
 This service is a subsidiary of Company X,Misc,Corporate Information,Subsidiary Information
 This service is only available for commercial use,First Party Collection/use,Service Availability,Commercial Use Only
 This service is only available for use individually and non-commercially.,First Party Collection/use,Service Availability,Individual Non-Commercial Use
 This service is only available to users over a certain age,International and Specific Audiences,User Access,Age Restriction
" This service may collect, use, and share location data",First Party Collection/use,Data Collection,Location Data Collection
" This service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics",Service Description,Legal Terms,Nonbinding Statement
 This Service provides a list of Third Parties involved in its operation.,Third Party Sharing/Collection,Third-Party Involvement,List of Third Parties
 This service provides a way for you to export your data,"User Access, Edit and Deletion",Data Portability,Data Export
 This service receives your precise location through GPS coordinates,First Party Collection/use,Data Collection,GPS Location Data
 This service reserves the right to disclose your personal information without notifying you,Third Party Sharing/Collection,Data Sharing,Disclosure without Notification
 This service retains rights to your content even after you stop using your account,First Party Collection/use,Intellectual Property,Content Rights Post-Account
 This service shares your personal data with third parties that are not essential to its operation,Third Party Sharing/Collection,Data Sharing,Non-Essential Third-Party Sharing
 This service still tracks you even if you opted out from tracking,Do Not Track,Tracking,Tracking despite Opt-Out
 This service takes credit for your content,First Party Collection/use,Intellectual Property,Credit for User Content
 This service tracks which web page referred you to it,First Party Collection/use,Data Collection,Referral Tracking
 This service tracks you on other websites,Third Party Sharing/Collection,Tracking,Cross-Site Tracking
 This service will continue using anonymized user-generated content after erasure of personal information,Data Retention,Data Usage,Anonymized Content Usage
 Tracking cookies refused will not limit your ability to use the service,User Choice,Tracking,Tracking Cookies Refusal
 Tracking pixels are used in service-to-user communication,First Party Collection/use,Tracking,Service-to-User Tracking Pixels
 Two factor authentication is provided for your account,Data Security,Security Practices,Two-Factor Authentication
 User accounts can be terminated after having been in breach of the terms of service repeatedly,"User Access, Edit and Deletion",User Access,Termination for Breach
 User suspension from the service will be fair and proportionate.,Governing Law,User Conduct,Fair Suspension
 User-generated content can be blocked or censored for any reason,Governing Law,User Content,Content Blocking
" User-generated content is encrypted, and this service cannot decrypt it",Data Security,Data Security,Content Encryption
 Usernames can be rejected or changed for any reason,User Choice,User Access,Username Rejection
 Users who have been permanently banned from this service are not allowed to re-register under a new account,"User Access, Edit and Deletion",User Access,Permanent Ban
 \very broad\,Misc,Data Collection,Voice Data Collection
 Voice data is collected and shared with third-parties,Third Party Sharing/Collection,Legal Terms,Advance Notice for Terms Change
" When the service wants to change its terms, you are notified a week or more in advance.",Policy Change,Legal Terms,Material Change Notice
" When the service wants to make a material change to its terms, you are notified at least 30 days in advance",Policy Change,User Conduct,No Illegal Content
 You agree not to submit illegal content,User Responsibility,User Conduct,No Libelous Content
" You agree not to submit libelous, harassing or threatening content",User Responsibility,User Conduct,No Illegal Use
 You agree not to use the service for illegal purposes,First Party Collection/use,Legal Terms,Compliance with Local Law
 You agree to comply with the law of the service\s country,User Responsibility,Legal Terms,Indemnify and Hold Harmless
" You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",Indemnification,Intellectual Property,Content Quoting with Attribution
 You are allowed to quote their content with attribution,First Party Collection/use,Tracking,Social Media Tracking
 You are being tracked via social media cookies/pixels,Third Party Sharing/Collection,Pricing and Fees,Refund Entitlement
 You are entitled to a refund if certain thresholds or standards are not met by the service,Disclaimer,Legal Terms,Binding Arbitration
 You are forced into binding arbitration in case of disputes,Dispute Resolution,Intellectual Property,Choice of Copyright License
 You are free to choose the type of copyright license that you want to use over your content,User Choice,Data Security,Publishing Personal Info Risk
 You are informed about the risk of publishing personal info online,First Party Collection/use,User Identity,No Pseudonyms Allowed
" You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",Registration & Account Security,Tracking,No Tracking
 You are not being tracked,Do Not Track,User Conduct,No Unauthorized Access
 You are prohibited from attempting to gain unauthorized access to other computer systems,Data Security,User Conduct,No Libelous Content Posting
 You are prohibited from posting content which promotes violence or politically or religiously extremist values.,Governing Law,User Conduct,No Illegal Use
" You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",First Party Collection/use,User Conduct,No Unsolicited Messages
" You are responsible for any risks, damages, or losses that may incur by downloading materials",Data Security,Legal Terms,No Liability for Downloads
You are responsible for maintaining the security of your account and for the activities on your account,Data Security,Security Practices,Account Security Responsibility
 You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,Indemnification,Legal Terms,Indemnify and Hold Harmless
" You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",Third Party Sharing/Collection,Tracking,Advanced Tracking Methods
 You are warned of the potential consequences related to third-party access,Third Party Sharing/Collection,Data Security,Third-Party Access Warnings
 You aren’t allowed to publicly post private messages,User Choice,User Conduct,No Public Posting of Private Messages
 You aren’t allowed to remove or edit user-generated content,"User Access, Edit and Deletion",User Content,No Editing or Removing Content
 You aren’t forced into binding arbitration in case of disputes,Dispute Resolution,Legal Terms,No Forced Arbitration
 You authorise the service to charge a credit card supplied on re-occurring basis,First Party Collection/use,Pricing and Fees,Recurring Credit Card Charges
 You can access most of the pages on the service\s website without revealing any personal information,First Party Collection/use,Data Collection,Anonymous Access
 You can choose the copyright license,User Choice,Intellectual Property,Choice of Copyright License
 You can choose with whom you share content,User Choice,Data Sharing,Content Sharing Choices
 You can delete your content from this service,"User Access, Edit and Deletion",User Content,Content Deletion
 You can limit how your information is used by third-parties and the service,User Choice,Data Usage,Limit Data Usage
 You can opt out of promotional communications,User Choice,Data Usage,Opt-Out of Promotional Communications
 You can opt out of providing personal information to third parties,User Choice,Data Sharing,Opt-Out of Data Sharing
 You can opt out of targeted advertising,User Choice,Data Usage,Opt-Out of Targeted Advertising
" You can request access, correction and/or deletion of your data","User Access, Edit and Deletion",Data Access,Data Request Rights
 You can retrieve an archive of your data,"User Access, Edit and Deletion",Data Access,Data Archive Retrieval
" You can scrape the site, as long as it doesn\t impact the server too much",First Party Collection/use,User Conduct,Allowed Site Scraping
 You can’t close your account if an investigation is ongoing,"User Access, Edit and Deletion",User Access,No Account Closure During Investigation
 You cannot delete your account of this service,"User Access, Edit and Deletion",User Access,No Deletion of Older Accounts
" You cannot delete your contributions, but it makes sense for this service","User Access, Edit and Deletion",User Content,No Deletion of Contributions
 You cannot distribute or disclose your account to third parties,Third Party Sharing/Collection,User Access,No Account Disclosure
 You cannot opt out of promotional communications,User Choice,Data Usage,No Opt-Out of Promotional Communications
 You have a reduced time period to take legal action against the service,Governing Law,Legal Terms,Reduced Legal Action Period
 You have the right to leave this service at any time,User Choice,User Access,Right to Leave Service
 You have the right to request lower Charges from Third Party Providers,User Choice,Pricing and Fees,Request Lower Third-Party Charges
 You maintain ownership of your content,First Party Collection/use,,
 You must create an account to use this service,First Party Collection/use,User Access,Account Creation Required
 You must provide your identifiable information,First Party Collection/use,Data Collection,Identifiable Information Required
" You must provide your legal name, pseudonyms are not allowed",Registration & Account Security,User Identity,Legal Name Required
 You must report to the service any unauthorized use of your account or any breach of security,Data Security,Security Practices,Report Unauthorized Use
 You shall not interfere with another person\s enjoyment of the service,User Responsibility,User Conduct,No Interference
" You should revisit the terms periodically, although in case of material changes, the service will notify, Category",Policy Change,Legal Terms,Periodic Review of Terms
 You waive your moral rights,User Responsibility,Legal Terms,Waive Moral Rights
 You waive your right to a class action.,User Responsibility,Legal Terms,Waive Class Action
 You will be notified about website maintenance,First Party Collection/use,Service Availability,Maintenance Notification
 You will be notified if personal data has been affected by data breaches,Data Security,Data Security,Data Breach Notification
 Your account can be deleted without prior notice and without a reason,"User Access, Edit and Deletion",User Access,Account Deletion without Notice
 Your account can be suspended for several reasons,First Party Collection/use,User Access,Account Suspension
 Your biometric data is collected,First Party Collection/use,Data Collection,Biometric Data Collection
 Your browser\s Do Not Track (DNT) headers are respected,Do Not Track,Tracking,Respect DNT Headers
 Your browsing history can be viewed by the service,First Party Collection/use,Data Collection,Browsing History Viewing
 Your content can be deleted if you violate the terms,"User Access, Edit and Deletion",User Content,Content Deletion for Violation
 Your content can be distributed through any media known now or in the future,First Party Collection/use,Intellectual Property,Content Distribution Rights
 Your content can be licensed to third parties,Third Party Sharing/Collection,Intellectual Property,Content Licensing
 Your data is processed and stored in a country that is friendlier to user privacy protection,International and Specific Audiences,Data Storage,Privacy-Friendly Data Storage
 Your data is processed and stored in a country that is less friendly to user privacy protection,International and Specific Audiences,Data Storage,Less Privacy-Friendly Data Storage
 Your data may be processed and stored anywhere in the world,International and Specific Audiences,Data Storage,Global Data Storage
 Your feedback is invited regarding changes to the terms.,Policy Change,Legal Terms,Feedback on Terms Changes
 Your identity is used in ads that are shown to other users,Third Party Sharing/Collection,Data Usage,Identity Used in Ads
 Your information is only shared with third parties when given specific consent,Third Party Sharing/Collection,Data Sharing,Consent-Based Data Sharing
" Your IP address is collected, which can be used to view your approximate location",First Party Collection/use,Data Collection,IP Address Collection
 Your personal data is aggregated into statistics,First Party Collection/use,Data Usage,Data Aggregated for Statistics
 Your personal data is not shared with third parties,Third Party Sharing/Collection,Data Sharing,No Third-Party Data Sharing
 Your personal data is not sold,Third Party Sharing/Collection,Data Sharing,No Data Selling
 Your personal data is used for advertising,First Party Collection/use,Data Usage,Data Used for Advertising
 Your personal data is used for limited purposes,First Party Collection/use,Data Usage,Limited Data Usage
 Your personal data is used to employ targeted third-party advertising,Third Party Sharing/Collection,Data Usage,Targeted Advertising
 Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,Third Party Sharing/Collection,Data Sharing,Data Transfer in Bankruptcy
 Your Personal data may be sold unless you opt out,Third Party Sharing/Collection,Data Sharing,Data Selling Opt-Out
 Your personal data may be used for marketing purposes,First Party Collection/use,Data Usage,Marketing Data Usage
 Your personal data will not be used for an automated decision-making,First Party Collection/use,Data Usage,No Automated Decision-Making
 Your personal information is used for many different purposes,First Party Collection/use,Data Usage,Various Purposes
 Your private content may be accessed by people working for the service,First Party Collection/use,Data Access,Employee Access to Private Content
 Your profile is combined across various products,First Party Collection/use,Data Usage,Profile Combination
 Your provided identifiable information is actively checked by the service,First Party Collection/use,Data Collection,Active Checking of Identifiable Information
 Your use is throttled,First Party Collection/use,Service Availability,Usage Throttling
"Your personal data is used for automated decision-making, profiling or AI training",First Party Collection/use,Data Usage,Marketing Data Usage
The service does not use any third-party advertising services,Third Party Sharing/Collection,Data Usage,Targeted Advertising
