score,class,case,Topic,Title,URL
50,bad,Information is gathered about you through third parties,Third Parties,Copyright license limited for the purposes of that same service but transferable and sublicenseable,https://edit.tosdr.org/cases/135
50,bad,"Instead of asking directly, this Service will assume your consent merely from your usage.",Notice of Changing Terms,Critical changes to the terms are made without user involvement,https://edit.tosdr.org/cases/120
10,neutral,Instructions are provided on how to submit a copyright claim,Copyright License,"Defend, indemnify, hold harmless; survives termination",https://edit.tosdr.org/cases/147
10,neutral,Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,Governance,Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,https://edit.tosdr.org/cases/233
30,neutral,IP addresses of website visitors are not tracked,Types of Information Collected,Extra data may be collected about you through promotions,https://edit.tosdr.org/cases/211
70,bad,Many different types of personal data are collected,Personal Data,Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,https://edit.tosdr.org/cases/295
50,bad,Many third parties are involved in operating the service,Third Parties,Features of the website are made available under a free software license,https://edit.tosdr.org/cases/171
0,neutral,Minors must have the authorization of their legal guardians to use the service,Governance,First-party cookies are used,https://edit.tosdr.org/cases/126
20,neutral,No guarantee is given regarding quality,Guarantee,Harming minors in any ways is prohibited,https://edit.tosdr.org/cases/445
50,good,No need to register,Right to Leave The Service,"If you are the target of a copyright claim, your content may be removed",https://edit.tosdr.org/cases/310
10,neutral,Only aggregate data is given to third parties,Personal Data,"If you are the target of a copyright holder's take down notice, this service gives you the opportunity to defend yourself",https://edit.tosdr.org/cases/155
10,neutral,only for your individual use,[Deprecated],"If you offer suggestions to the service, they become the owner of the ideas that you give them",https://edit.tosdr.org/cases/182
50,good,Only necessary logs are kept by the service to ensure quality,Logs,"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",https://edit.tosdr.org/cases/390
0,neutral,"Other applicable rules, terms, conditions or guidelines",Governance,Inconvenient process for obtaining personal data,https://edit.tosdr.org/cases/141
40,bad,"Per the service's terms, users may not express negative opinions about them",Governance,Information is gathered about you through third parties,https://edit.tosdr.org/cases/382
30,neutral,Political discussions or campaining are prohibited,Content,Information is provided about how they collect personal data,https://edit.tosdr.org/cases/297
50,good,You aren’t allowed to publicly post private messages,Content,Information is provided about how your personal data is used,https://edit.tosdr.org/cases/227
20,neutral,You are prohibited from posting content which promotes violence or politically or religiously extremist values.,Content,Information is provided about security practices,https://edit.tosdr.org/cases/226
15,neutral,The posting of pornographic content is prohibited,Content,Information is provided about what kind of information they collect,https://edit.tosdr.org/cases/228
50,good,Promises will be kept after a merger or acquisition,Business Transfers,"Instead of asking directly, this Service will assume your consent to changes of terms merely from your usage.",https://edit.tosdr.org/cases/403
10,neutral,Instructions are provided on how to submit a copyright claim,Copyright License,Instructions are provided on how to submit a copyright claim,https://edit.tosdr.org/cases/138
0,neutral,Separate policies are employed for different parts of the service,Transparency,Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,https://edit.tosdr.org/cases/294
60,bad,User-generated content can be blocked or censored for any reason,Suspension and Censorship,IP addresses of website visitors are not tracked,https://edit.tosdr.org/cases/192
30,neutral,Alternative accounts are not allowed,Anonymity,Logs are deleted after a finite period of time,https://edit.tosdr.org/cases/177
80,bad,Service fines users for Terms of Service violations,Governance,Logs are kept for an undefined period of time,https://edit.tosdr.org/cases/178
50,blocker,Specific content can be deleted without reason and may be removed without prior notice,Suspension and Censorship,Many different types of personal data are collected,https://edit.tosdr.org/cases/376
10,neutral,"Spidering, crawling, or accessing the site through any automated means is not allowed",Content,Many third parties are involved in operating the service,https://edit.tosdr.org/cases/208
20,neutral,"Spidering, crawling, or accessing the site through any automated means is not allowed",Content,No guarantee is given regarding quality,https://edit.tosdr.org/cases/160
70,bad,"Terms may be changed any time at their discretion, without notice to you",Notice of Changing Terms,No need to register,https://edit.tosdr.org/cases/320
50,good,The cookies used by this service do not contain information that would personally identify you,Trackers,No third-party analytics or tracking platforms are used,https://edit.tosdr.org/cases/381
50,bad,The copyright license maintained by the service over user data and/or content is broader than necessary.,Copyright License,none,https://edit.tosdr.org/cases/235
50,neutral,The copyright license that you grant this service is limited to the parties that make up the service's broader platform.,Copyright License,Only aggregate data is given to third parties,https://edit.tosdr.org/cases/191
50,good,The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,Jurisdiction and governing laws,Only for your individual use,https://edit.tosdr.org/cases/142
50,bad,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,Jurisdiction and governing laws,Only necessary logs are kept by the service to ensure quality,https://edit.tosdr.org/cases/176
0,neutral,The court of law governing the terms is in location X,Jurisdiction and governing laws,Only temporary session cookies are used,https://edit.tosdr.org/cases/125
50,bad,The policy refers to documents that are missing or unfindable,Transparency,"Other applicable rules, terms, conditions or guidelines",https://edit.tosdr.org/cases/144
15,neutral,The posting of pornographic content is prohibited,Content,"Per the service's terms, you may not express negative opinions about them",https://edit.tosdr.org/cases/156
0,good,The publishing of personally identifiable information without the owner’s consent is not allowed,Content,Personal information that is shared outside its jurisdiction is processed according to the original jurisdiction‚Äôs data protection standards,https://edit.tosdr.org/cases/302
50,good,You can opt out of providing personal information to third parties,User Choice,Political discussions or campaining are prohibited,https://edit.tosdr.org/cases/316
20,good,Pseudonyms are allowed,Anonymity,Political discussions which are against the government-advocated value are prohibited,https://edit.tosdr.org/cases/410
50,blocker,Specific content can be deleted without reason and may be removed without prior notice,Suspension and Censorship,"Prices and fees may be changed at any time, without notice to you",https://edit.tosdr.org/cases/497
60,bad,Your account can be deleted or permanently suspended without prior notice and without a reason,Suspension and Censorship,Private messages can be read,https://edit.tosdr.org/cases/239
70,bad,Private messages can be read,Personal Data,Promises will be kept after a merger or acquisition,https://edit.tosdr.org/cases/321
50,bad,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,Business Transfers,Pseudonyms are allowed,https://edit.tosdr.org/cases/215
15,neutral,Your account can be suspended for several reasons,Suspension and Censorship,Pseudonyms are allowed due to the service's billing policies,https://edit.tosdr.org/cases/212
70,bad,Many different types of personal data are collected,Personal Data,Security incidents are reported to the authorities,https://edit.tosdr.org/cases/500
50,bad,The service disables software that you are not licensed to use.,Ownership,Sensitive data is collected and shared to target advertising,https://edit.tosdr.org/cases/487
10,bad,The service does not guarantee accuracy or reliability of the information provided,Guarantee,sensitive personal information is collected,https://edit.tosdr.org/cases/514
50,bad,The service does not guarantee that software errors will be corrected,Guarantee,Separate policies are employed for different parts of the service,https://edit.tosdr.org/cases/200
40,good,The service does not index or open files that you upload,Personal Data,Service fines users for Terms of Service violations,https://edit.tosdr.org/cases/378
50,good,Your personal data is not shared with third parties,Third Parties,Some personal data may be kept for business interests or legal obligations,https://edit.tosdr.org/cases/333
25,good,No third-party analytics or tracking platforms are used,Third Parties,Specific content can be deleted without reason and may be removed without prior notice,https://edit.tosdr.org/cases/202
15,good,30 days of notice are given before closing your account,Suspension and Censorship,"Spidering, crawling, or accessing the site through any automated means is not allowed",https://edit.tosdr.org/cases/150
50,neutral,The service has a no refund policy,Payments,Staff at this organisation receive training about handling data,https://edit.tosdr.org/cases/505
10,good,The service has non-exclusive use of your content,Copyright License,Terms are short,https://edit.tosdr.org/cases/515
40,good,You are informed about the risk of publishing personal info online,Transparency,"Terms may be changed any time at their discretion, without notice to you",https://edit.tosdr.org/cases/121
10,neutral,This service informs you that its Terms of Service does not apply to third party websites,Transparency,The cookies used by this service do not contain information that would personally identify you,https://edit.tosdr.org/cases/374
50,neutral,The service is not responsible for linked or (clearly) quoted content from third-party content providers,Guarantee,The copyright license maintained by the service over your data and/or content is broader than necessary.,https://edit.tosdr.org/cases/132
0,neutral,The service is not transparent regarding government requests or inquiries that may involve your data.,Deprecated,The copyright license that you grant this service is limited to the parties that make up the service's broader platform.,https://edit.tosdr.org/cases/136
20,bad,The service is only available in some countries approved by its government,Jurisdiction and governing laws,The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,https://edit.tosdr.org/cases/241
20,bad,The service is provided 'as is' and to be used at your sole risk,Guarantee,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,https://edit.tosdr.org/cases/242
0,neutral,The service is transparent regarding government requests or inquiries that may involve your data.,Deprecated,The court of law governing the terms is in location X,https://edit.tosdr.org/cases/163
35,bad,Critical changes to the terms are made without user involvement,User Involvement in Changing Terms,The data retention period is kept to the minimum necessary for fulfilling its purposes,https://edit.tosdr.org/cases/303
0,neutral,"The terms may be changed at any time, but you will receive notification of the changes",Notice of Changing Terms,The policy refers to documents that are missing or unfindable,https://edit.tosdr.org/cases/386
50,bad,Extra data may be collected about you through promotions,Advertising,the policy version has a clear date,https://edit.tosdr.org/cases/506
40,bad,"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",Right to Leave The Service,The posting of pornographic content is prohibited,https://edit.tosdr.org/cases/315
50,bad,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",Trackers,The publishing of personally identifiable information without the owner‚Äôs consent is not allowed,https://edit.tosdr.org/cases/444
50,good,The service promises to inform and/or notify you regarding government inquiries that may involve your personal data,Law and Government Requests,The service assumes no liability for any damages the user incurs,https://edit.tosdr.org/cases/293
30,bad,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",Guarantee,The service can intervene in user disputes,https://edit.tosdr.org/cases/276
30,good,A complaint mechanism is provided for the handling of personal data,Personal Data,The service claims to be CCPA compliant for California users,https://edit.tosdr.org/cases/482
40,good,A list of all cookies set by the website is provided,Trackers,The service claims to be GDPR compliant for European users,https://edit.tosdr.org/cases/481
10,good,A free help desk is provided,Transparency,The service claims to be LGPD compliant for Brazilian users,https://edit.tosdr.org/cases/483
30,good,The service provides details about what kinds of personal information they collect,Personal Data,The service deletes tracking data after a period of time and allows you to opt out,https://edit.tosdr.org/cases/221
50,good,Information is provided about how they collect personal data,Transparency,The service disables software that you are not licensed to use.,https://edit.tosdr.org/cases/330
30,good,Information is provided about how your personal data is used,Transparency,The service does not guarantee accuracy or reliability of the information provided,https://edit.tosdr.org/cases/288
25,good,Two factor authentication is provided for your account,Security,The service does not guarantee that software errors will be corrected,https://edit.tosdr.org/cases/289
25,bad,The policy refers to documents that are missing or unfindable,Transparency,The service does not index or open files that you upload,https://edit.tosdr.org/cases/194
30,good,The service reviews its privacy policy on a regular basis,Notice of Changing Terms,The service does not use any third-party advertising services,https://edit.tosdr.org/cases/498
50,bad,You are being tracked via social media cookies/pixels,Trackers,The service explains how to prevent disclosure of personal information to third parties,https://edit.tosdr.org/cases/334
30,bad,Your personal data is used for advertising,Advertising,The service has a no refund policy,https://edit.tosdr.org/cases/162
40,bad,Your personal data is used to employ targeted third-party advertising,Advertising,The service has non-exclusive use of your content,https://edit.tosdr.org/cases/402
30,good,You are warned of the potential consequences related to third-party access,Third Parties,The service informs you that its privacy policy does not apply to third party websites,https://edit.tosdr.org/cases/299
50,good,Third parties are not allowed to access your personal information without a legal basis,Law and Government Requests,The service is not responsible for linked or (clearly) quoted content from third-party content providers,https://edit.tosdr.org/cases/278
30,good,The service will only respond to government requests that are reasonable,Law and Government Requests,The service is not transparent regarding government requests or inquiries that may involve your data.,https://edit.tosdr.org/cases/168
60,good,The service will resist legal requests for your information where reasonably possible,Law and Government Requests,The service is only available in some countries approved by its government,https://edit.tosdr.org/cases/490
50,good,The data retention period is kept to the minimum necessary for fulfilling its purposes,Right to Leave The Service,The service is open-source,https://edit.tosdr.org/cases/485
30,good,You will be notified if personal data has been affected by data breaches,Security,The service is provided 'as is' and to be used at your sole risk,https://edit.tosdr.org/cases/286
15,good,The terms for this service are easy to read,Transparency,The service is transparent regarding government requests or inquiries that may involve your data.,https://edit.tosdr.org/cases/169
0,neutral,The terms for this service are translated into different languages,Transparency,"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",https://edit.tosdr.org/cases/304
0,neutral,"The terms may be changed at any time, but you will receive notification of the changes",Notice of Changing Terms,The service promises to inform and/or notify you regarding government inquiries that may involve your personal data,https://edit.tosdr.org/cases/165
15,good,Information is provided about security practices,Security,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",https://edit.tosdr.org/cases/287
50,neutral,There is a date of the last update of the agreements,Changes,The service reviews its privacy policy on a regular basis,https://edit.tosdr.org/cases/301
40,bad,They may stop providing the service at any time,Suspension and Censorship,The service suspends your account after inactivity for a certain or uncertain time,https://edit.tosdr.org/cases/499
100,bad,They store data on you even if you did not interact with the service,Personal Data,The service will only respond to government requests that are reasonable,https://edit.tosdr.org/cases/393
30,bad,Third parties are involved in operating the service,Third Parties,The service will resist legal requests for your information where reasonably possible,https://edit.tosdr.org/cases/305
15,bad,Third parties are involved in operating the service,Third Parties,The terms for this service are easy to read,https://edit.tosdr.org/cases/199
20,good,Third parties used by the service are bound by confidentiality obligations,Third Parties,The terms for this service are translated into different languages,https://edit.tosdr.org/cases/198
10,bad,Your personal data is used to employ targeted third-party advertising,trackers,"The terms may be changed at any time, but you will receive notification of the changes",https://edit.tosdr.org/cases/122
40,good,You can retrieve an archive of your data,User Choice,There is a date of the last update of the agreements,https://edit.tosdr.org/cases/331
50,bad,This service assumes no liability for any losses or damages resulting from any matter relating to the service,Governance,They may stop providing the service at any time,https://edit.tosdr.org/cases/203
30,bad,This service assumes no liability for unauthorized access to your personal information,Personal Data,They store data on you even if you did not interact with the service,https://edit.tosdr.org/cases/234
50,neutral,This service assumes no responsibility and liability for the contents of links to other websites,Governance,Third parties are involved in operating the service,https://edit.tosdr.org/cases/207
50,neutral,Your content can be deleted if you violate the terms,Suspension and Censorship,Third parties are not allowed to access your personal information without a legal basis,https://edit.tosdr.org/cases/167
50,bad,Your content can be licensed to third parties,Copyright License,Third parties used by the service are bound by confidentiality obligations,https://edit.tosdr.org/cases/210
0,neutral,This service gives your personal data to third parties involved in its operation,Third Parties,"Third party cookies are employed, but with opt out instructions",https://edit.tosdr.org/cases/127
50,bad,This service can use your content for all their existing and future services,Ownership,Third-party cookies are used for advertising,https://edit.tosdr.org/cases/128
50,blocker,Your browsing history can be viewed by the service,Types of Information Collected,Third-party cookies are used for statistics,https://edit.tosdr.org/cases/325
0,neutral,This service cannot be held responsible for disputes that you may have with other users,Governance,This service assumes no liability for unauthorized access to your personal information,https://edit.tosdr.org/cases/186
0,neutral,This service does not condone any ideas contained in its user-generated contents,Content,This service assumes no responsibility and liability for the contents of links to other websites,https://edit.tosdr.org/cases/279
50,good,You aren’t forced into binding arbitration in case of disputes,Dispute Resolution,This service can use your content for all their existing and future services,https://edit.tosdr.org/cases/180
0,bad,This service does not guarantee that it or the products obtained through it meet your expectations or requirements,Guarantee,This service cannot be held responsible for disputes that you may have with other users,https://edit.tosdr.org/cases/154
25,good,Your personal data is not sold,Personal Data,"This service does not collect, use, or share location data",https://edit.tosdr.org/cases/392
100,good,You are not being tracked,Trackers,This service does not condone any ideas contained in its user-generated contents,https://edit.tosdr.org/cases/292
50,bad,This service employs a broad copyright license over user content including the right to distribute through any media,Copyright License,This service does not guarantee that it or the products obtained through it meet your expectations or requirements,https://edit.tosdr.org/cases/290
0,neutral,Separate policies are employed for different parts of the service,Transparency,This Service does not keep any logs.,https://edit.tosdr.org/cases/501
5,bad,"Third party cookies are employed, but with opt out instructions",Trackers,This service fines spammers,https://edit.tosdr.org/cases/153
50,bad,You are forced into binding arbitration in case of disputes,Dispute Resolution,This service gives your personal data to third parties involved in its operation,https://edit.tosdr.org/cases/188
50,bad,Information is gathered about you through third parties,Third Parties,This service has a no refund policy with some exceptions,https://edit.tosdr.org/cases/398
35,bad,This service gives your personal data to third parties involved in its operation,Third Parties,This service holds onto content that you've deleted,https://edit.tosdr.org/cases/174
40,neutral,This service has a no refund policy with some exceptions,Payments,This service informs you that its Terms of Service does not apply to third party websites,https://edit.tosdr.org/cases/408
30,blocker,This service holds onto content that you've deleted,Right to Leave The Service,This service is a subsidiary of Company X,https://edit.tosdr.org/cases/493
60,bad,Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,Trackers,This service is only available for commercial use,https://edit.tosdr.org/cases/495
10,neutral,This service informs you that its Terms of Service does not apply to third party websites,Transparency,This service is only available for use individually and non-commercially.,https://edit.tosdr.org/cases/143
10,neutral,This service is a subsidiary of Company X,Transparency,This service is only available to users over a certain age,https://edit.tosdr.org/cases/152
25,neutral,This service is only available for use individually and non-commercially.,Governance,"This service may collect, use, and share location data",https://edit.tosdr.org/cases/373
15,neutral,This service is only available to users over a certain age,Governance,"This service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics",https://edit.tosdr.org/cases/332
50,bad,A license is kept on user-generated content even after you close your account,Copyright License,This Service provides a list of Third Parties involved in its operation.,https://edit.tosdr.org/cases/404
100,bad,Logs are kept for an undefined period of time,Logs,This service provides a way for you to export your data,https://edit.tosdr.org/cases/184
75,bad,"This service may collect, use, and share location data",Personal Data,This service receives your precise location through GPS coordinates,https://edit.tosdr.org/cases/400
70,bad,Some personal data may be kept for business interests or legal obligations,Right to Leave The Service,This service retains rights to your content even after you stop using your account,https://edit.tosdr.org/cases/173
50,bad,Your personal data may be used for marketing purposes,Advertising,This service shares your personal data with third parties that are not essential to its operation,https://edit.tosdr.org/cases/166
80,good,Your information is only shared with third parties when given specific consent,Third Parties,This service still tracks you even if you opted out from tracking,https://edit.tosdr.org/cases/478
20,good,Only temporary session cookies are used,Trackers,This service takes credit for your content,https://edit.tosdr.org/cases/179
20,neutral,You are prohibited from attempting to gain unauthorized access to other computer systems,Governance,This service tracks which web page referred you to it,https://edit.tosdr.org/cases/387
15,neutral,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",Content,This service tracks you on other websites,https://edit.tosdr.org/cases/129
30,good,This service provides a way for you to export your data,[Deprecated],This service will continue using anonymized user-generated content after erasure of personal information,https://edit.tosdr.org/cases/240
50,good,Archives of their agreements are provided so that changes can be viewed over time,Transparency,Tracking cookies refused will not limit your ability to use the service,https://edit.tosdr.org/cases/385
10,neutral,First-party cookies are used,Trackers,Tracking pixels are used in service-to-user communication,https://edit.tosdr.org/cases/217
50,bad,This service reserves the right to disclose your personal information without notifying you,Law and Government Requests,Two factor authentication is provided for your account,https://edit.tosdr.org/cases/312
30,good,Your browser's Do Not Track (DNT) headers are respected,Trackers,User accounts can be terminated after having been in breach of the terms of service repeatedly,https://edit.tosdr.org/cases/313
25,bad,This service retains rights to your content even after you stop using your account,Right to Leave The Service,User suspension from the service will be fair and proportionate.,https://edit.tosdr.org/cases/204
30,bad,Your use is throttled,Guarantee,User-generated content can be blocked or censored for any reason,https://edit.tosdr.org/cases/379
50,bad,This service tracks which web page referred you to it,Trackers,"User-generated content is encrypted, and this service cannot decrypt it",https://edit.tosdr.org/cases/372
60,bad,This service tracks you on other websites,Trackers,Usernames can be rejected or changed for any reason,https://edit.tosdr.org/cases/328
10,bad,Third-party cookies are used for statistics,Trackers,users are notified of any material changes,https://edit.tosdr.org/cases/508
40,bad,Your personal information is used for many different purposes,Personal Data,"users can contact the (edtech) vendor about any privacy policy questions, complaints, and material changes as indicated in the policies",https://edit.tosdr.org/cases/509
15,bad,This service will continue using anonymized user-generated content after erasure of personal information,Anonymity,Users who have been permanently banned from this service are not allowed to re-register under a new account,https://edit.tosdr.org/cases/319
30,good,You will be notified about website maintenance,Guarantee,very broad,https://edit.tosdr.org/cases/133
20,bad,No guarantee is given regarding quality,Guarantee,Voice data is collected and shared with third-parties,https://edit.tosdr.org/cases/489
50,good,Tracking cookies refused will not limit your ability to use the service,Trackers,"When the service wants to change its terms, you are notified a week or more in advance.",https://edit.tosdr.org/cases/123
5,bad,Tracking pixels are used in service-to-user communication,Trackers,Minors must have the authorization of their legal guardians to use the service,https://edit.tosdr.org/cases/486
70,bad,Tracking via third-party cookies for other purposes without your consent.,Trackers,"When the service wants to make a material change to its terms, you are notified at least 30 days in advance",https://edit.tosdr.org/cases/124
25,good,Two factor authentication is provided for your account,Security,You agree not to submit illegal content,https://edit.tosdr.org/cases/238
50,good,User accounts can be terminated after having been in breach of the terms of service repeatedly,Suspension and Censorship,"You agree not to submit libelous, harassing or threatening content",https://edit.tosdr.org/cases/283
30,good,Your feedback is invited regarding changes to the terms.,User Involvement in Changing Terms,You agree not to use the service for illegal purposes,https://edit.tosdr.org/cases/280
80,good,Logs are deleted after a finite period of time,Logs,You agree to comply with the law of the service's country,https://edit.tosdr.org/cases/237
20,good,User suspension from the service will be fair and proportionate.,Suspension and Censorship,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",https://edit.tosdr.org/cases/146
50,good,"User-generated content is encrypted, and this service cannot decrypt it",Content,You agree to indemnify and hold the service harmless in case of a claim related to your use of the service,https://edit.tosdr.org/cases/145
20,bad,Usernames can be rejected or changed for any reason,Suspension and Censorship,You are allowed to quote their content with attribution,https://edit.tosdr.org/cases/388
10,neutral,You agree not to submit illegal content,Deprecated,You are being tracked via social media cookies/pixels,https://edit.tosdr.org/cases/307
20,neutral,"You agree not to submit libelous, harassing or threatening content",Content,You are entitled to a refund if certain thresholds or standards are not met by the service,https://edit.tosdr.org/cases/161
10,neutral,You agree not to use the service for illegal purposes,Content,You are forced into binding arbitration in case of disputes,https://edit.tosdr.org/cases/339
0,neutral,You agree to comply with the law of the service's country,Law and Government Requests,You are free to choose the type of copyright license that you want to use over your content,https://edit.tosdr.org/cases/137
30,good,You are free to choose the type of copyright license that you want to use over your content,Deprecated,You are informed about the risk of publishing personal info online,https://edit.tosdr.org/cases/231
50,good,You are free to choose the type of copyright license that you want to use over your content,Deprecated,"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",https://edit.tosdr.org/cases/213
10,neutral,"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",Anonymity,You are not being tracked,https://edit.tosdr.org/cases/218
50,neutral,"You are responsible for any risks, damages, or losses that may incur by downloading materials",Guarantee,You are prohibited from attempting to gain unauthorized access to other computer systems,https://edit.tosdr.org/cases/284
60,good,You can access most of the pages on the service's website without revealing any personal information,Personal Data,You are prohibited from posting content which promotes violence or politically or religiously extremist values.,https://edit.tosdr.org/cases/314
50,good,"You can scrape the site, as long as it doesn't impact the server too much",Governance,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",https://edit.tosdr.org/cases/281
20,bad,Users cannot scrape the website of the service,Governance,"You are responsible for any risks, damages, or losses that may incur by downloading materials",https://edit.tosdr.org/cases/291
50,bad,You have a reduced time period to take legal action against the service,Governance,You are responsible for maintaining the security of your account and for the activities on your account,https://edit.tosdr.org/cases/148
20,bad,You shall not interfere with another person's enjoyment of the service,Content,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",https://edit.tosdr.org/cases/323
50,neutral,"You should revisit the terms periodically, although in case of material changes, the service will notify",Notice of Changing Terms,You are warned of the potential consequences related to third-party access,https://edit.tosdr.org/cases/209
20,neutral,Users who have been permanently banned from this service are not allowed to re-register under a new account,Suspension and Censorship,You aren‚Äôt allowed to publicly post private messages,https://edit.tosdr.org/cases/317
80,bad,very broad,[Deprecated],You aren‚Äôt allowed to remove or edit user-generated content,https://edit.tosdr.org/cases/479
15,good,"When the service wants to change its terms, you are notified a week or more in advance.",Notice of Changing Terms,You aren‚Äôt forced into binding arbitration in case of disputes,https://edit.tosdr.org/cases/335
40,good,"When the service wants to make a material change to its terms, you are notified at least 30 days in advance",Notice of Changing Terms,You authorise the service to charge a credit card supplied on re-occurring basis,https://edit.tosdr.org/cases/384
0,neutral,You agree not to submit illegal content,[Deprecated],You can access most of the pages on the service's website without revealing any personal information,https://edit.tosdr.org/cases/298
20,neutral,"You agree not to submit libelous, harassing or threatening content",Content,You can choose the copyright license,https://edit.tosdr.org/cases/222
10,neutral,You agree not to use the service for illegal purposes,Content,You can choose with whom you share content,https://edit.tosdr.org/cases/225
0,neutral,You agree to comply with the law of the service's country,Law and Government Requests,You can delete your content from this service,https://edit.tosdr.org/cases/175
60,bad,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",Governance,You can limit how your information is used by third-parties and the service,https://edit.tosdr.org/cases/338
50,neutral,You are allowed to quote their content with attribution,Governance,You can opt out of promotional communications,https://edit.tosdr.org/cases/223
30,good,You are entitled to a refund if certain thresholds or standards are not met by the service,Payments,You can opt out of providing personal information to third parties,https://edit.tosdr.org/cases/337
50,bad,You are forced into binding arbitration in case of disputes,Dispute Resolution,You can opt out of targeted advertising,https://edit.tosdr.org/cases/219
50,good,You are free to choose the type of copyright license that you want to use over your content,[Deprecated],"You can request access, correction and/or deletion of your data",https://edit.tosdr.org/cases/195
40,good,You are informed about the risk of publishing personal info online,Transparency,You can retrieve an archive of your data,https://edit.tosdr.org/cases/140
